Handle,REF,Nombre,Categoria,Descripción,Vendido por peso,Opción 1 nombre,Opción 1 valor,Opción 2 nombre,Opción 2 valor,Opción 3 nombre,Opción 3 valor,Coste,Codigo de barras,REF del componente,Cantidad del componente,Seguir el Inventario,Usar prodcucción,Proveedor,Costo de compra,Disponibles para la venta [Obrador Roig],Precio [Obrador Roig],En inventario [Obrador Roig],Existencias bajas [Obrador Roig],Stock óptimo [Obrador Roig],"impuesto - ""IVA 4%"" (4%)","impuesto - ""IVA 10%"" (10%)"
jugadora-silueta-futbol-femeni-barça,10045,Jugadora silueta futbol femeni barça estoig,Figures xoco,,N,,,,,,,0.00,,,,N,,,,Y,19.50,,,,N,Y
kit-kat,10068,kit-kat,DZ,,N,,,,,,,0.00,,,,N,,,,Y,1.20,,,,N,Y
lioneses-de-nata-i-trufa-preu/kg,10159,Lioneses de nata/trufa/crema preu/kg,pastisseria dolça pes,,N,,,,,,,0.00,,,,N,,,,Y,36.00,,,,N,Y
altres-xoco/golo,10317,Llaminadures (golo xuxes) Haribo Halls,DZ,,N,,,,,,,0.00,,,,N,,,,Y,1.20,,,,N,Y
llapis-xoco-sticks-colors-simon-coll,10368,Llapis estoig xoco colors,Ludomar,,N,,,,,,,0.00,,,,N,,,,Y,9.95,,,,N,Y
llevat-eur/kg,10354,Llevat Eur/kg,brioixeria SR,,Y,,,,,,,0.00,,,,N,,,,Y,20.00,,,,N,Y
magdalenes-petites,10272,Magdalenes pack bossa,DZ,,N,,,,,,,0.00,,,,N,,,,Y,4.50,,,,N,Y
medallon-moneda-gran,10500,Medallon moneda gran tio/unicornio,Nadal,,N,,,,,,,0.00,,,,N,,,,Y,3.99,,,,N,Y
milfulls-de-nata-caramel-i-pinyons-del-montseny,10160,Milfulls de nata caramel i pinyons,pastisseria SR,,N,,,,,,,0.00,,,,N,,,,Y,24.95,,,,N,Y
milfulls-individual-nata-freses,10018,Milfulls individual,pastisseria SR,,N,,,,,,,0.00,,,,N,,,,Y,3.95,,,,N,Y
milfulls-nata,10161,Milfulls nata,pastisseria SR,,N,,,,,,,0.00,,,,N,,,,Y,22.50,,,,N,Y
mini-b-st-jordi,10168,Mini B St Jordi,DZ,,N,,,,,,,0.00,,,,N,,,,Y,1.20,,,,N,Y
mini-berlina-sant-jordi,10183,Mini berlina sant jordi,brioixeria SR,,N,,,,,,,1.00,,,,N,,,,Y,1.00,,,,Y,Y
mini-crois-vegetal,10093,Mini crois vegetal,DZ,,N,,,,,,,0.00,,,,N,,,,Y,1.50,,,,N,Y
mini-ouera-no-comestible,10241,Mini ouera no comestible,Pasqua,,N,,,,,,,0.00,,,,N,,,,Y,4.50,,,,N,Y
mini-super-crois,10147,Mini Super crois,brioixeria SR,,N,,,,,,,0.00,,,,N,,,,Y,1.50,,,,N,Y
mini-unicornio,10196,Mini unicornio,DZ,,N,,,,,,,0.00,,,,N,,,,Y,2.50,,,,N,Y
mona-bob-esponja,10412,Mona Bob Esponja,Figures xoco,,N,,,,,,,0.00,,,,N,,,,Y,74.95,,,,N,Y
mono-xoco-caixa,10171,Mona Figura xoco caixa blanca,Pasqua,,N,,,,,,,0.00,,,,N,,,,Y,32.00,,,,N,Y
mona-gran,10410,Mona gran,Quaresma SR,,N,,,,,,,0.00,,,,N,,,,Y,47.00,,,,N,Y
mona-mitjana,10409,Mona mitjana,Quaresma SR,,N,,,,,,,0.00,,,,N,,,,Y,40.00,,,,N,Y
mona-petita,10392,Mona petita,Quaresma SR,,N,,,,,,,0.00,,,,N,,,,Y,36.00,,,,N,Y
cristiana,10435,Mona tradicional Cristina Garlanda,Quaresma SR,,N,,,,,,,0.00,,,,N,,,,Y,19.50,,,,N,Y
"moneda-euro-4,1gr-simon-coll",10370,"Moneda Euro 4,1gr Simon Coll",Pasqua,,N,,,,,,,0.00,,,,N,,,,Y,1.00,,,,N,Y
moneda-unicornio,10380,Moneda Unicornio / Halloween,Pasqua,,N,,,,,,,0.00,,,,N,,,,Y,1.00,,,,N,Y
mousse-1/2-llàgrima,10361,Mousse 1/2 llàgrima,Quaresma SR,,N,,,,,,,0.00,,,,N,,,,Y,24.95,,,,N,Y
mousse-cor-petit,10352,Mousse cor petit,Sant Valentí,,N,,,,,,,0.00,,,,N,,,,Y,5.00,,,,N,Y
mousse-llàgrima,10360,Mousse llàgrima,Quaresma SR,,N,,,,,,,0.00,,,,N,,,,Y,32.50,,,,N,Y
mousse-oreo-gran,10098,Mousse Oreo gran,pastisseria SR,,N,,,,,,,0.00,,,,N,,,,Y,44.50,,,,N,Y
mousse-oreo-mitjà,10436,Mousse Oreo mitjà,pastisseria SR,,N,,,,,,,0.00,,,,N,,,,Y,33.50,,,,N,Y
mousse-oreo-petit,10437,Mousse Oreo petit,pastisseria SR,,N,,,,,,,0.00,,,,N,,,,Y,25.95,,,,N,Y
biscuit-gran,10035,Mousse Pastís Gran,pastisseria SR,,N,,,,,,,0.00,,,,N,,,,Y,44.00,,,,N,Y
biscuit-mitjà,10036,Mousse Pastís Mitjà,pastisseria SR,,N,,,,,,,0.00,,,,N,,,,Y,32.50,,,,N,Y
pastís-nata-amb-maduixes,10218,Mousse pastís nata i maduixes / cireres mitjà,pastisseria SR,,N,,,,,,,0.00,,,,N,,,,Y,34.95,,,,N,Y
pastís-nata-i-maduixes-petit,10219,Mousse pastís nata i maduixes / cireres petit,pastisseria SR,,N,,,,,,,0.00,,,,N,,,,Y,27.95,,,,N,Y
biscuit-petit,10037,Mousse Pastís Petit,pastisseria SR,,N,,,,,,,0.00,,,,N,,,,Y,24.95,,,,N,Y
muffin-carrotcake,10099,Muffin carrotcake,Alex,,N,,,,,,,0.00,,,,N,,,,Y,2.50,,,,N,Y
star-wars,10402,Nau Star Wars,Figures xoco,,N,,,,,,,0.00,,,,N,,,,Y,79.95,,,,N,Y
neules-diabetics,10503,Neules artesanals,Nadal,,N,,,,,,,0.00,,,,N,,,,Y,3.50,,,,N,Y
ninots-de-nadal-galetes,10304,Ninots pack de Nadal Galetes,Nadal,,N,,,,,,,0.00,,,,N,,,,Y,6.50,,,,N,Y
figureta-roig,10375,Ninu,Ninu,,N,,,,,,,0.00,,,,N,,,,Y,8.00,,,,N,Y
figura-ninu-elsa-frozen,10237,Ninu Elsa Anna Frozen,Ninu,,N,,,,,,,0.00,,,,N,,,,Y,9.50,,,,N,Y
figura-harry-potter,10416,Ninu Harry Potter / Hermione,Ninu,,N,,,,,,,0.00,,,,N,,,,Y,12.50,,,,N,Y
nino-mic,10162,Ninu Mic,Ninu,,N,,,,,,,0.00,,,,N,,,,Y,9.95,,,,N,Y
peppa-pig-cavall,10109,Ninu Peppa Pig cavall,Ninu,,N,,,,,,,0.00,,,,N,,,,Y,12.50,,,,N,Y
figura-peppa-pig,10389,Ninu Peppa Pig gran,Ninu,,N,,,,,,,0.00,,,,N,,,,Y,9.50,,,,N,Y
ninu-star-wars,10239,Ninu Star Wars,Ninu,,N,,,,,,,0.00,,,,N,,,,Y,9.50,,,,N,Y
niu-petit-ulleres,10430,Niu petit pollito ulleres,Pasqua,,N,,,,,,,0.00,,,,N,,,,Y,3.50,,,,N,Y
nocilla-mini,10181,Nocilla mini,,,N,,,,,,,1.50,,,,N,,,,Y,1.50,,,,Y,Y
oblea-serigrafia-dibuix,10057,Oblea serigrafia dibuix,DZ,,N,,,,,,,0.00,,,,N,,,,Y,8.50,,,,N,Y
orxata-1-litre,10204,Orxata 1 litre,beguda,,N,,,,,,,0.00,,,,N,,,,Y,8.50,,,,N,Y
orxata-250-ml,10189,Orxata 500 ml,beguda,,N,,,,,,,0.00,,,,N,,,,Y,4.50,,,,N,Y
orxata,10016,Orxata got / 250 ml,beguda,,N,,,,,,,0.00,,,,N,,,,Y,2.50,,,,N,Y
ou-100gr-simon-coll,10191,Ou 100 gr xoco,Figures xoco,,N,,,,,,,0.00,,,,N,,,,Y,12.00,,,,N,Y
ou-xoco-200-gr,10047,Ou 200 gr xoco,Figures xoco,,N,,,,,,,0.00,,,,N,,,,Y,22.00,,,,N,Y
ou-30gr-simon-coll,10415,Ou 25gr / 30gr xoco,Pasqua,,N,,,,,,,0.00,,,,N,,,,Y,2.50,,,,N,Y
ou-35gr-xoco,10148,Ou 35gr xoco,Figures xoco,,N,,,,,,,0.00,,,,N,,,,Y,3.20,,,,N,Y
ou-75gr-simon-coll,10414,Ou 75gr Simon Coll,Pasqua,,N,,,,,,,0.00,,,,N,,,,Y,3.95,,,,N,Y
ou-300gr-simon-coll,10347,Ou gran gegant 300gr,Pasqua,,N,,,,,,,0.00,,,,N,,,,Y,25.00,,,,N,Y
ou-kinder,10318,Ou kinder sorpresa,DZ,,N,,,,,,,0.00,,,,N,,,,Y,1.90,,,,N,Y
ou-mini-bombó-praliné,10130,Ou mini bombó praliné,Pasqua,,N,,,,,,,0.00,,,,N,,,,Y,1.00,,,,Y,N
pa-de-blat-de-moro,10078,Pa Blat de moro maiz,pa especialitat,,N,,,,,,,0.00,,,,N,,,,Y,3.80,,,,Y,N
pa-brioix-400g,10335,Pa brioix motlle,brioixeria SR,,N,,,,,,,0.00,,,,N,,,,Y,4.80,,,,Y,N
especialitat-pa-de-coca,10143,Pa de coca,pa especialitat,,N,,,,,,,0.00,,,,N,,,,Y,3.30,,,,Y,N
pa-de-sant-jordi,10199,Pa de Diada,Diada,,N,,,,,,,0.00,,,,N,,,,Y,6.50,,,,N,Y
pa-de-motlle,10194,Pa de motlle,pa,,N,,,,,,,0.00,,,,N,,,,Y,3.90,,,,Y,N
pa-de-motlle-americà-gran-(xxl),10195,Pa de motlle americà gran (XXL),pa,,N,,,,,,,0.00,,,,N,,,,Y,7.10,,,,Y,N
especialitat-pa-de-motlle-de-nous,10144,Pa de motlle de nous,pa especialitat,,N,,,,,,,0.00,,,,N,,,,Y,2.95,,,,Y,N
pa-motlle-denous-llarg,10391,Pa de motlle de nous llarg,pa especialitat,,N,,,,,,,0.00,,,,N,,,,Y,4.95,,,,Y,N
pa-de-motlle-integral,10198,Pa de motlle integral,pa,,N,,,,,,,0.00,,,,N,,,,Y,4.10,,,,Y,N
pa-de-pessic-gran,10095,Pa de pessic gran,brioixeria SR,,N,,,,,,,0.00,,,,N,,,,Y,11.50,,,,N,Y
pa-de-pessic-mitjà,10431,Pa de pessic mitjà,pastisseria SR,,N,,,,,,,0.00,,,,N,,,,Y,8.00,,,,N,Y
pa-de-pessic-mitjà-amb-xocolata,10256,Pa de pessic mitjà amb xocolata,pastisseria SR,,N,,,,,,,0.00,,,,N,,,,Y,15.95,,,,N,Y
pa-de-pessic-petit,10432,Pa de pessic petit,pastisseria SR,,N,,,,,,,0.00,,,,N,,,,Y,5.50,,,,N,Y
pa-fajol-/-sarraceno-(serrahi-/-blat-negre),10158,Pa Fajol / sarraceno (serrahi / blat negre),pa especialitat,,N,,,,,,,0.00,,,,N,,,,Y,4.30,,,,Y,N
pa-ratllat,10100,Pa rallat Eur/kg,pa,,Y,,,,,,,0.00,,,,N,,,,Y,2.90,,,,Y,N
pa-ratllat-1,10174,Pa ratllat,pa,,N,,,,,,,2.00,,,,N,,,,Y,2.00,,,,Y,Y
pa-sarraceno-fajol,10049,Pa Segol centeno,pa especialitat,,N,,,,,,,0.00,,,,N,,,,Y,4.30,,,,Y,N
xapata,10319,Pa txapata,pa especialitat,,N,,,,,,,0.00,,,,N,,,,Y,2.20,,,,Y,N
pa-bacon-ceba,10307,Pa Txapata sabors,pa especialitat,,N,,,,,,,0.00,,,,N,,,,Y,2.95,,,,Y,N
pack-bolsa-4-roca-xoco,10128,Pack bolsa 4 roca xoco,Pack Bolsa Xoco,,N,,,,,,,0.00,,,,N,,,,Y,3.50,,,,N,Y
pack-bolsa-boles-suisses-3-xoco,10108,Pack bolsa boles suisses 3 xoco 80 gr,Pack Bolsa Xoco,,N,,,,,,,0.00,,,,N,,,,Y,3.50,,,,N,Y
pack-bolsa-catanies,10163,Pack bolsa catanies 80 gr,Pack Bolsa Xoco,,N,,,,,,,0.00,,,,N,,,,Y,5.00,,,,N,Y
pack-bolsa-grageas-lacasitos,10104,Pack bolsa grageas lacasitos 80 gr,Pack Bolsa Xoco,,N,,,,,,,0.00,,,,N,,,,Y,3.50,,,,N,Y
pack-bossa---tió,10024,Pack bossa - caga tio,Nadal,,N,,,,,,,0.00,,,,N,,,,Y,8.50,,,,N,Y
pack-dia-del-pare,10233,Pack dia del pare,,,N,,,,,,,0.00,,,,N,,,,Y,14.50,,,,N,Y
pack-galetes-no-gluten,10247,Pack galetes cookies no gluten,Sense gluten,,N,,,,,,,0.00,,,,N,,,,Y,3.85,,,,N,Y
pack-burger-4u,10227,Pack pa hamburgesa 4u burger brioche,DZ,,N,,,,,,,0.00,,,,N,,,,Y,3.50,,,,N,Y
pack-pets-de-monge-50-gr,10278,Pack Pets de Monge 50 gr,Blasetti,,N,,,,,,,0.00,,,,N,,,,Y,2.75,,,,Y,Y
pack-sant-jordi,10299,Pack Sant Jordi,Diada,,N,,,,,,,0.00,,,,N,,,,Y,12.95,,,,N,Y
pack-sant-valentí,10084,Pack Sant Valentí,Sant Valentí,,N,,,,,,,0.00,,,,N,,,,Y,14.50,,,,N,Y
pack-sugus,10220,Pack sugus,Packs,,N,,,,,,,1.50,,,,N,,,,Y,1.50,,,,Y,Y
pilotes-padel-tenis,10190,Padel pack xoco,Pasqua,,N,,,,,,,0.00,,,,N,,,,Y,42.00,,,,N,Y
pages-1/2-integral,10203,Pagès/Valls 1/2 integral,pa,,N,,,,,,,2.60,,,,N,,,,Y,2.60,,,,Y,N
valls-1kg-espelta,10282,Pages/Valls1 kg espelta,pa especialitat,,N,,,,,,,0.00,,,,N,,,,Y,4.90,,,,Y,N
pal-salat,10172,Pal salat,pa,,N,,,,,,,1.20,,,,N,,,,Y,1.20,,,,Y,Y
pala-padel-sense-pilota,10249,Pala padel sense pilota,Pasqua,,N,,,,,,,0.00,,,,N,,,,Y,28.00,,,,N,Y
palmera-normal,10207,Palmera,brioixeria SR,,N,,,,,,,0.00,,,,N,,,,Y,2.10,,,,N,Y
palmera-nous,10208,Palmera nous,brioixeria SR,,N,,,,,,,0.00,,,,N,,,,Y,2.25,,,,N,Y
palmera-xocolata,10209,Palmera xoco,brioixeria SR,,N,,,,,,,0.00,,,,N,,,,Y,2.20,,,,N,Y
palmeretes,10321,Palmeretes / Palmeretes xoco,pa,,N,,,,,,,0.00,,,,N,,,,Y,0.65,,,,N,Y
panellet,10492,Panellet (kg),brioixeria SR,,Y,,,,,,,0.00,,,,N,,,,Y,59.00,,,,N,Y
panellet-caixa-9u,10497,Panellet caixa / bossa 8-9u,brioixeria SR,,N,,,,,,,0.00,,,,N,,,,Y,14.95,,,,N,Y
panettone,10210,Panettone,Nadal,,N,,,,,,,0.00,,,,N,,,,Y,24.95,,,,N,Y
papa-noel-3d,10115,Papa Noel 3D,Nadal,,N,,,,,,,0.00,,,,N,,,,Y,1.80,,,,N,Y
paraigües-cors-simon-coll,10145,Paraigües Simon Coll,Simon Coll,,N,,,,,,,0.00,,,,N,,,,Y,2.95,,,,N,Y
napolitana-pare-papa-noel-20-gr,10126,Pare Noel napolitana 20 gr,Nadal,,N,,,,,,,0.00,,,,N,,,,Y,0.95,,,,N,Y
coulant-sense-gluten,10507,Pasta sense gluten,Sense gluten,,N,,,,,,,0.00,,,,N,,,,Y,2.50,,,,N,Y
pastís-cheescake-lotus,10288,Pastís cheescake lotus,DZ,,N,,,,,,,0.00,,,,N,,,,Y,32.00,,,,N,Y
pastís-de-crema-petit,10177,Pastís de Crema petit,pastisseria SR,<p>Past&iacute;s de Crema Petit</p>,N,,,,,,,0.00,,,,N,,,,Y,24.95,,,,Y,Y
pastís-llibre-de-sant-jordi,10052,Pastís llibre de Sant Jordi,Diada,,N,,,,,,,0.00,,,,N,,,,Y,27.50,,,,N,Y
pastís-mousse-de-limón-petit,10180,Pastís Mousse de Limón Petit,pastisseria SR,,N,,,,,,,0.00,,,,N,,,,Y,24.95,,,,Y,Y
pastís-nata-i-maduixes-gran,10217,Pastís nata i maduixes gran,pastisseria SR,,N,,,,,,,0.00,,,,N,,,,Y,44.50,,,,N,Y
pastís-nata-i-maduixes-mitjà,10270,Pastís nata i maduixes mitjà,pastisseria SR,,N,,,,,,,0.00,,,,N,,,,Y,34.95,,,,N,Y
pastís-red-velvet,10448,Pastís Red Velvet mitjà,pastisseria SR,,N,,,,,,,0.00,,,,N,,,,Y,34.95,,,,N,Y
pastísxred-velvet-petit,10242,Pastís Red Velvet petit,pastisseria SR,,N,,,,,,,0.00,,,,N,,,,Y,27.50,,,,N,Y
pastís-sacher-petit,10178,Pastís Sacher Petit,pastisseria SR,,N,,,,,,,0.00,,,,N,,,,Y,24.95,,,,Y,Y
pastís-selva-negra-mitjà,10179,Pastís Selva Negra mitjà,pastisseria SR,,N,,,,,,,0.00,,,,N,,,,Y,33.50,,,,Y,Y
pastís-vegà-guiness-cake-mitjà,10351,Pastís vegà mitjà,Alex,,N,,,,,,,0.00,,,,N,,,,Y,38.00,,,,N,Y
patata-bossa,10155,Patata bossa,T'olis,,N,,,,,,,1.50,,,,N,,,,Y,1.50,,,,Y,Y
patins-skate-250gr-simon-coll,10371,Pati Xoco figura roll,Figures xoco,,N,,,,,,,0.00,,,,N,,,,Y,19.50,,,,N,Y
patito-groc-xoco,10202,Patito anec groc xoco,Pasqua,,N,,,,,,,0.00,,,,N,,,,Y,4.95,,,,N,Y
patito-xoco-disfressa,10188,Patito xoco disfressa,Pasqua,,N,,,,,,,0.00,,,,N,,,,Y,7.50,,,,N,Y
pets-de-monge,10137,Pets de Monge,Blasetti,,Y,,,,,,,0.00,,,,N,,,,Y,55.00,,,,N,Y
picos-sense-gluten,10267,Picos sense gluten,Sense gluten,,N,,,,,,,0.00,,,,N,,,,Y,3.95,,,,N,Y
pilota-futbol-blanca-300gr-simon-coll,10374,Pilota futbol barça 250 gr,Figures xoco,,N,,,,,,,0.00,,,,N,,,,Y,19.50,,,,N,Y
pilota-padel-tennis-pack-4u,10040,Pilota padel tennis preu 1 unitat,Ludomar,,N,,,,,,,0.00,,,,N,,,,Y,5.00,,,,N,Y
pingu,10403,Pingu,Figures xoco,,N,,,,,,,0.00,,,,N,,,,Y,74.95,,,,N,Y
pinyons,10230,Pinyons,brioixeria SR,,N,,,,,,,0.00,,,,N,,,,Y,110.50,,,,N,Y
piruleta-cors-xocolata,10311,Piruleta xocolata,Ludomar,,N,,,,,,,0.00,,,,N,,,,Y,3.80,,,,N,Y
pizza-allargada,10081,Pizza allargada,brioixeria SR,,N,,,,,,,0.00,,,,N,,,,Y,19.95,,,,N,Y
pizza-gran-rectangular,10200,Pizza gran rectangular,brioixeria SR,,N,,,,,,,0.00,,,,N,,,,Y,44.50,,,,N,Y
placa-xoco,10245,Placa xoco,pastisseria SR,,N,,,,,,,0.00,,,,N,,,,Y,7.50,,,,N,Y
pluma,10426,Pluma,Pasqua,,N,,,,,,,0.00,,,,N,,,,Y,0.50,,,,N,Y
pollito-barretina-català,10422,Pollito barretina català / futbolista,Pasqua,,N,,,,,,,0.00,,,,N,,,,Y,1.20,,,,N,Y
pollito-groc-disfressat-peluxe,10154,Pollito groc disfressat peluix,Pasqua,,N,,,,,,,0.00,,,,N,,,,Y,3.50,,,,N,Y
pollito-groc-i-colors,10423,Pollito groc i colors,Pasqua,,N,,,,,,,0.00,,,,N,,,,Y,1.00,,,,N,Y
pollito-plàstic-corda,10167,Pollito plàstic corda,Pasqua,,N,,,,,,,0.00,,,,N,,,,Y,9.50,,,,N,Y
pollet-sortint-ou,10044,Pollito sortint ou Xoco,Figures xoco,,N,,,,,,,0.00,,,,N,,,,Y,14.50,,,,Y,N
polvos-per-xoco-defeta,10446,Polvos per xoco desfeta,pastisseria SR,,Y,,,,,,,0.00,,,,N,,,,Y,16.00,,,,N,Y
porcio-cheescake-lotus,10287,Porcio cheescake Lotus,DZ,,N,,,,,,,0.00,,,,N,,,,Y,4.00,,,,N,Y
ració-brownie,10320,Ració Brownie,Alex,,N,,,,,,,0.00,,,,N,,,,Y,2.90,,,,N,Y
ració-carrot-cake,10211,Ració Carrot cake,pastisseria SR,,N,,,,,,,0.00,,,,N,,,,Y,3.50,,,,N,Y
ració-cheescake,10309,Ració Cheescake,Alex,,N,,,,,,,0.00,,,,N,,,,Y,3.50,,,,N,Y
ració-coca-cr.cr.,10297,Ració Coca Cr.Cr. / xoco,brioixeria SR,,N,,,,,,,0.00,,,,N,,,,Y,3.00,,,,N,Y
ració-coca-croissant,10300,Ració coca Croissant,brioixeria SR,,N,,,,,,,0.00,,,,N,,,,Y,2.50,,,,N,Y
coca-alemanya-pes-el-kg,10071,Ració pa de pessic,pastisseria SR,,N,,,,,,,0.00,,,,N,,,,Y,2.00,,,,N,Y
ració-pizza,10302,Ració Pizza,brioixeria SR,,N,,,,,,,0.00,,,,N,,,,Y,2.50,,,,N,Y
ració-red-velvet,10454,Ració Red Velvet,Alex,,N,,,,,,,0.00,,,,N,,,,Y,3.80,,,,N,Y
ració-tarta-satín,10119,Ració tarta Satín,pastisseria SR,,N,,,,,,,0.00,,,,N,,,,Y,3.50,,,,N,Y
refresc-llauna,10226,Refresc llauna / Cacaolat / Suc / Hohes / Gas / Perrier,beguda,,N,,,,,,,0.00,,,,N,,,,Y,2.00,,,,N,Y
rei-mag-25-gr,10073,Rei mag xoco 25 gr,Nadal,,N,,,,,,,0.00,,,,N,,,,Y,2.50,,,,N,Y
roca-xocolata-negre,10330,Roca Preu / Unitat atmetlla xocolata,Ludomar,,N,,,,,,,0.00,,,,N,,,,Y,1.50,,,,N,Y
rodó-sense-gluten,10484,Rodó sense gluten,Sense gluten,,N,,,,,,,0.00,,,,N,,,,Y,4.40,,,,Y,N
rooibos-capuccino,10489,Rooibos capuccino,cafè,,N,,,,,,,0.00,,,,N,,,,Y,1.95,,,,N,Y
roques-blanques-crispy-gerds,10465,Roques Blanques Crispy Gerds DZ,DZ,,Y,,,,,,,0.00,,,,N,,,,Y,30.00,,,,N,Y
rosa-vermella-unitat,10338,Rosa flor / xoco,Diada,,N,,,,,,,0.00,,,,N,,,,Y,6.50,,,,N,Y
sac-pa-sec,10420,Sac pa sec,pa,,N,,,,,,,0.00,,,,N,,,,Y,4.50,,,,Y,N
sandwich-tonyina,10214,Sandwich tonyina,entrepà,,N,,,,,,,1.60,,,,N,,,,Y,1.60,,,,Y,Y
sandwich-vegetal,10213,Sandwich vegetal,entrepà,,N,,,,,,,0.00,,,,N,,,,Y,1.50,,,,Y,Y
sara-bernat,10234,Sara Bernat,pastisseria SR,,N,,,,,,,0.00,,,,N,,,,Y,4.95,,,,N,Y
sara-biscuit,10476,Sara biscuit,pastisseria SR,,N,,,,,,,0.00,,,,N,,,,Y,4.95,,,,N,Y
búlgaro,10059,Sara Búlgaro,pastisseria SR,,N,,,,,,,0.00,,,,N,,,,Y,4.95,,,,N,Y
sara-mantega,10236,Sara llimona,pastisseria SR,,N,,,,,,,0.00,,,,N,,,,Y,4.95,,,,N,Y
sara-massini,10291,Sara massini,pastisseria SR,,N,,,,,,,0.00,,,,N,,,,Y,4.95,,,,N,Y
montserratines,10165,Sara Montserratina,pastisseria SR,,N,,,,,,,0.00,,,,N,,,,Y,4.95,,,,N,Y
mousse-ind.-semifred,10473,Sara Mousse ind. Semifred,pastisseria SR,,N,,,,,,,0.00,,,,N,,,,Y,4.95,,,,N,Y
sara-iema,10235,Sara nata/trufa iema,pastisseria SR,,N,,,,,,,0.00,,,,N,,,,Y,4.95,,,,N,Y
tiramisú-individual,10257,Sara Tiramisú individual,pastisseria SR,,N,,,,,,,0.00,,,,N,,,,Y,4.95,,,,N,Y
sardines-llauna,10127,Sardines llauna,Nadal,,N,,,,,,,0.00,,,,N,,,,Y,2.95,,,,N,Y
secalls-1kg,10238,Secalls bossa,DZ,,N,,,,,,,0.00,,,,N,,,,Y,1.50,,,,N,Y
serigrafia-gran,10408,Serigrafia gran,Figures xoco,,N,,,,,,,0.00,,,,N,,,,Y,48.00,,,,N,Y
serigrafia-petita,10407,Serigrafia petita,Figures xoco,,N,,,,,,,0.00,,,,N,,,,Y,39.00,,,,N,Y
smoothies,10185,Smoothies,beguda,,N,,,,,,,5.50,,,,N,,,,Y,5.50,,,,Y,Y
sorteig-panera-de-nadal,10138,Sorteig panera de Nadal,Nadal,,N,,,,,,,0.00,,,,N,,,,Y,3.00,,,,N,Y
suc-taronja-natural-gran,10010,Suc taronja natural,beguda,,N,,,,,,,0.00,,,,N,,,,Y,2.90,,,,N,Y
super-crois,10193,Super Crois,brioixeria SR,,N,,,,,,,0.00,,,,N,,,,Y,2.50,,,,N,Y
suplement-embotit-gran,10243,Suplement embotit gran,entrepà,,N,,,,,,,0.00,,,,N,,,,Y,0.30,,,,N,Y
suplement-embotit-mini,10244,Suplement embotit mini,entrepà,,N,,,,,,,0.00,,,,N,,,,Y,0.15,,,,N,Y
sweet-cracker,10277,Sweet cracker,DZ,,N,,,,,,,0.00,,,,N,,,,Y,6.50,,,,N,Y
t’olis-180g,10246,T'Olis Tolis 180g,T'olis,,N,,,,,,,0.00,,,,N,,,,Y,3.80,,,,N,Y
tall-del-pa,10014,Tall del pa,pa,,N,,,,,,,0.00,,,,N,,,,Y,0.10,,,,Y,N
tallat,10005,Tallat,cafè,,N,,,,,,,0.00,,,,N,,,,Y,1.60,,,,N,Y
tarta-santiago,10250,Tarta Santiago,pastisseria SR,,N,,,,,,,0.00,,,,N,,,,Y,14.50,,,,N,Y
tartaletes-variades,10251,Tartaleta,pastisseria SR,,N,,,,,,,0.00,,,,N,,,,Y,3.50,,,,N,Y
taula-70%-cacao-simon-coll,10252,Taula xoco 70% Cacao Simon Coll 85g,Simon Coll,,N,,,,,,,0.00,,,,N,,,,Y,2.70,,,,N,Y
taula-xoco-85%-taronja-simon-coll-85g,10478,Taula Xoco 70% Taronja Simon Coll 85g,Simon Coll,,N,,,,,,,0.00,,,,N,,,,Y,2.95,,,,N,Y
taula-xoco-llet-32%-simon-coll-85g,10477,Taula Xoco llet 32% Simon Coll 85g,Simon Coll,,N,,,,,,,0.00,,,,N,,,,Y,2.70,,,,N,Y
taula-xoco-llet-70%-sal-de-mar-simon-coll-85g,10479,Taula Xoco llet 70% Sal de mar Simon Coll 85g,Simon Coll,,N,,,,,,,0.00,,,,N,,,,Y,2.95,,,,N,Y
xoco-llet-alt-cacao-60%-85g-simon-coll,10164,Taula Xoco llet Alt Cacau 60% Simon Coll 85g,Simon Coll,,N,,,,,,,0.00,,,,N,,,,Y,2.70,,,,N,Y
xoco-tableta-sense-sucre-85g,10355,Taula xoco sense sucre 85g Simon Coll,Simon Coll,,N,,,,,,,0.00,,,,N,,,,Y,2.90,,,,N,Y
teula-xoco-pa-oli-85-gr,10129,Teula taula xoco pa oli 85 gr,DZ,,N,,,,,,,0.00,,,,N,,,,Y,5.50,,,,N,Y
tires-taronja-xoco,10231,Tires taronja o gingebre xoco,Nadal,,Y,,,,,,,0.00,,,,N,,,,Y,59.00,,,,N,Y
tocinillos-del-cielo---flamets.-preu-unitat,10296,Tocinillos del cielo - Flamets,pastisseria SR,,N,,,,,,,0.00,,,,N,,,,Y,0.95,,,,N,Y
torrades-mermelada-mantequilla,10353,Torrades mermelada mantequilla,entrepà,,N,,,,,,,0.00,,,,N,,,,Y,2.20,,,,N,Y
torrades-salades,10485,Torrades salades,entrepà,,N,,,,,,,0.00,,,,N,,,,Y,3.20,,,,N,Y
torrades,10212,Torrades soles,entrepà,,N,,,,,,,0.00,,,,N,,,,Y,1.75,,,,N,Y
torradetes-sense-gluten,10261,Torradetes sense gluten,Sense gluten,,N,,,,,,,0.00,,,,N,,,,Y,3.95,,,,N,Y
